source,target,originLocation,destLocation,duplicateSize
14,243,"|java+compilationUnit:///base/trunk/src/org/hsqldb/util/TransferDb.java|(6620,270,<223,0>,<232,13>)","|java+compilationUnit:///base/trunk/src/org/hsqldb/util/TransferSQLText.java|(3964,270,<117,0>,<126,13>)",7
256,51,"|java+compilationUnit:///base/trunk/src/org/hsqldb/lib/IntKeyHashMap.java|(4572,248,<170,0>,<180,41>)","|java+compilationUnit:///base/trunk/src/org/hsqldb/lib/LongKeyLongValueHashMap.java|(5076,248,<192,0>,<202,41>)",7
332,131,"|java+compilationUnit:///base/trunk/src/org/hsqldb/jdbc/jdbcStatement.java|(71599,1356,<1747,0>,<1772,88>)","|java+compilationUnit:///base/trunk/src/org/hsqldb/jdbc/jdbcResultSetMetaData.java|(37344,1356,<911,0>,<936,88>)",5
132,93,"|java+compilationUnit:///base/trunk/src/org/hsqldb/jdbc/jdbcDatabaseMetaData.java|(256131,1435,<5979,0>,<6006,5>)","|java+compilationUnit:///base/trunk/src/org/hsqldb/jdbc/jdbcPreparedStatement.java|(145700,1437,<3489,0>,<3516,5>)",7
286,281,"|java+compilationUnit:///base/trunk/test/org/hsqldb/jdbc/jdbcClobTest.java|(2084,234,<50,0>,<61,32>)","|java+compilationUnit:///base/trunk/test/org/hsqldb/jdbc/jdbcSavepointTest.java|(2009,234,<47,0>,<58,32>)",8
218,97,"|java+compilationUnit:///base/trunk/test/org/hsqldb/jdbc/jdbcConnectionTest.java|(2346,165,<59,0>,<66,25>)","|java+compilationUnit:///base/trunk/test/org/hsqldb/jdbc/jdbcDataSourceTest.java|(2085,165,<50,0>,<57,25>)",5
264,191,"|java+compilationUnit:///base/trunk/test/org/hsqldb/jdbc/jdbcResultSetMetaDataTest.java|(2320,1385,<61,0>,<85,27>)","|java+compilationUnit:///base/trunk/test/org/hsqldb/jdbc/jdbcResultSetTest.java|(2712,1297,<74,0>,<98,23>)",23
36,257,"|java+compilationUnit:///base/trunk/src/org/hsqldb/lib/HashMap.java|(3960,248,<141,0>,<151,41>)","|java+compilationUnit:///base/trunk/src/org/hsqldb/lib/IntKeyHashMap.java|(4572,248,<170,0>,<180,41>)",7
50,295,"|java+compilationUnit:///base/trunk/src/org/hsqldb/lib/LongKeyLongValueHashMap.java|(5034,451,<191,0>,<210,29>)","|java+compilationUnit:///base/trunk/src/org/hsqldb/lib/LongKeyIntValueHashMap.java|(4194,451,<156,0>,<175,29>)",14
64,223,"|java+compilationUnit:///base/trunk/src/org/hsqldb/rowio/RowInputBase.java|(7022,530,<223,0>,<232,48>)","|java+compilationUnit:///base/trunk/src/org/hsqldb/types/IntervalType.java|(4525,490,<134,0>,<143,44>)",9
204,109,"|java+compilationUnit:///base/trunk/src/org/hsqldb/test/TestDatabaseMetaData.java|(8944,158,<231,0>,<237,1>)","|java+compilationUnit:///base/trunk/src/org/hsqldb/test/TestStoredProcedure.java|(3950,158,<124,0>,<130,1>)",5
