index,year,package,className,direction
202,2007,base.trunk.src.org.hsqldb.rowio,RowOutputText,From
203,2007,base.trunk.src.org.hsqldb.rowio,RowOutputText,To
204,2007,base.trunk.src.org.hsqldb.test,TestDatabaseMetaData,From
205,2007,base.trunk.src.org.hsqldb.test,TestDatabaseMetaData,To
206,2007,base.trunk.src.org.hsqldb.types,BinaryType,From
207,2007,base.trunk.src.org.hsqldb.types,BinaryType,To
208,2007,base.trunk.src.org.hsqldb.jdbc,jdbcDataSource,From
209,2007,base.trunk.src.org.hsqldb.jdbc,jdbcDataSource,To
210,2007,base.trunk.src.org.hsqldb.types,ClobDataRemoteClient,From
211,2007,base.trunk.src.org.hsqldb.types,ClobDataRemoteClient,To
212,2007,base.trunk.src.org.hsqldb.test,TestCacheSize,From
213,2007,base.trunk.src.org.hsqldb.test,TestCacheSize,To
214,2007,base.trunk.src.org.hsqldb,TriggerDef,From
215,2007,base.trunk.src.org.hsqldb,TriggerDef,To
216,2007,base.trunk.test.org.hsqldb.jdbc,jdbcDriverTest,From
217,2007,base.trunk.test.org.hsqldb.jdbc,jdbcDriverTest,To
218,2007,base.trunk.test.org.hsqldb.jdbc,jdbcConnectionTest,From
219,2007,base.trunk.test.org.hsqldb.jdbc,jdbcConnectionTest,To
220,2007,base.trunk.src.org.hsqldb.jdbc,jdbcColumnMetaData,From
221,2007,base.trunk.src.org.hsqldb.jdbc,jdbcColumnMetaData,To
222,2007,base.trunk.src.org.hsqldb.types,IntervalType,From
223,2007,base.trunk.src.org.hsqldb.types,IntervalType,To
224,2007,base.trunk.src.org.hsqldb.lib,LongDeque,From
225,2007,base.trunk.src.org.hsqldb.lib,LongDeque,To
226,2007,base.trunk.src.org.hsqldb.lib,WrapperIterator,From
227,2007,base.trunk.src.org.hsqldb.lib,WrapperIterator,To
228,2007,base.trunk.src.org.hsqldb.test,SqlToolHarness,From
229,2007,base.trunk.src.org.hsqldb.test,SqlToolHarness,To
230,2007,base.trunk.src.org.hsqldb.sample,FindFile,From
231,2007,base.trunk.src.org.hsqldb.sample,FindFile,To
232,2007,base.trunk.src.org.hsqldb.util,Grid,From
233,2007,base.trunk.src.org.hsqldb.util,Grid,To
234,2007,base.trunk.src.org.hsqldb.util.preprocessor,Token,From
235,2007,base.trunk.src.org.hsqldb.util.preprocessor,Token,To
236,2007,base.trunk.src.org.hsqldb.types,BlobDataID,From
237,2007,base.trunk.src.org.hsqldb.types,BlobDataID,To
238,2007,base.trunk.src.org.hsqldb.util,ConnectionDialogSwing,From
239,2007,base.trunk.src.org.hsqldb.util,ConnectionDialogSwing,To
240,2007,base.trunk.src.org.hsqldb,RangeVariable,From
241,2007,base.trunk.src.org.hsqldb,RangeVariable,To
242,2007,base.trunk.src.org.hsqldb.util,TransferSQLText,From
243,2007,base.trunk.src.org.hsqldb.util,TransferSQLText,To
244,2007,base.trunk.src.org.hsqldb.lib,IntKeyLongValueHashMap,From
245,2007,base.trunk.src.org.hsqldb.lib,IntKeyLongValueHashMap,To
246,2007,base.trunk.src.org.hsqldb.rowio,RowOutputBinary,From
247,2007,base.trunk.src.org.hsqldb.rowio,RowOutputBinary,To
248,2007,base.trunk.src.org.hsqldb.test,TestLobs,From
249,2007,base.trunk.src.org.hsqldb.test,TestLobs,To
250,2007,base.trunk.src.org.hsqldb.jdbc,jdbcResultSet,From
251,2007,base.trunk.src.org.hsqldb.jdbc,jdbcResultSet,To
252,2007,base.trunk.src.org.hsqldb.test,TestCollation,From
253,2007,base.trunk.src.org.hsqldb.test,TestCollation,To
254,2007,base.trunk.src.org.hsqldb.scriptio,ScriptWriterZipped,From
255,2007,base.trunk.src.org.hsqldb.scriptio,ScriptWriterZipped,To
256,2007,base.trunk.src.org.hsqldb.lib,IntKeyHashMap,From
257,2007,base.trunk.src.org.hsqldb.lib,IntKeyHashMap,To
258,2007,base.trunk.src.org.hsqldb.types,BlobData,From
259,2007,base.trunk.src.org.hsqldb.types,BlobData,To
260,2007,base.trunk.src.org.hsqldb.util,Tree,From
261,2007,base.trunk.src.org.hsqldb.util,Tree,To
262,2007,base.trunk.src.org.hsqldb.types,ClobData,From
263,2007,base.trunk.src.org.hsqldb.types,ClobData,To
264,2007,base.trunk.test.org.hsqldb.jdbc,jdbcResultSetMetaDataTest,From
265,2007,base.trunk.test.org.hsqldb.jdbc,jdbcResultSetMetaDataTest,To
266,2007,base.trunk.src.org.hsqldb.scriptio,ScriptWriterBase,From
267,2007,base.trunk.src.org.hsqldb.scriptio,ScriptWriterBase,To
268,2007,base.trunk.test.org.hsqldb.jdbc,jdbcCallableStatementTest,From
269,2007,base.trunk.test.org.hsqldb.jdbc,jdbcCallableStatementTest,To
270,2007,base.trunk.src.org.hsqldb.test,TestBug778213,From
271,2007,base.trunk.src.org.hsqldb.test,TestBug778213,To
272,2007,base.trunk.src.org.hsqldb.jdbc.pool,BaseConnectionWrapper,From
273,2007,base.trunk.src.org.hsqldb.jdbc.pool,BaseConnectionWrapper,To
274,2007,base.trunk.src.org.hsqldb.persist,ScaledRAFile,From
275,2007,base.trunk.src.org.hsqldb.persist,ScaledRAFile,To
276,2007,base.trunk.src.org.hsqldb,RangeVariableResolver,From
277,2007,base.trunk.src.org.hsqldb,RangeVariableResolver,To
278,2007,base.trunk.src.org.hsqldb.dbinfo,DatabaseInformationFull,From
279,2007,base.trunk.src.org.hsqldb.dbinfo,DatabaseInformationFull,To
280,2007,base.trunk.test.org.hsqldb.jdbc,jdbcSavepointTest,From
281,2007,base.trunk.test.org.hsqldb.jdbc,jdbcSavepointTest,To
282,2007,base.trunk.src.org.hsqldb.scriptio,ScriptReaderBase,From
283,2007,base.trunk.src.org.hsqldb.scriptio,ScriptReaderBase,To
