versionDate,packageName,className,classSize,duplicateCount,duplicateLines,largestDuplicate
2007,base.trunk.src.org.hsqldb.types,BlobData,27,1,6,6
2008,base.trunk.src.org.hsqldb.types,ClobDataID,78,4,24,7
2007,base.trunk.src.org.hsqldb.test,TestHashStructures,390,10,62,10
2008,base.trunk.test.org.hsqldb.jdbc,jdbcConnectionPrepareStatementTest,121,10,118,28
2007,base.trunk.src.org.hsqldb.util.preprocessor,BasicResolver,33,1,6,6
2008,base.trunk.src.org.hsqldb.util,ConnectionDialogSwing,251,3,23,11
2008,base.trunk.src.org.hsqldb.store,BaseHashMap,960,33,267,26
2008,base.trunk.src.org.hsqldb.jdbc,Util,103,1,5,5
2008,base.trunk.src.org.hsqldb.cmdline,SqlFile,3661,26,166,11
2007,base.trunk.src.org.hsqldb.test,TestAllTypes,297,10,57,9
2007,base.trunk.src.org.hsqldb.jdbc,jdbcDatabaseMetaData,986,8,50,9
2008,base.trunk.src.org.hsqldb.lib,ArrayUtil,571,16,98,13
2007,base.trunk.src.org.hsqldb,TriggerDef,241,1,9,9
2007,base.trunk.test.org.hsqldb.jdbc,jdbcRowIdTest,59,4,25,8
2008,base.trunk.src.org.hsqldb.test,TestSubQueriesInPreparedStatements,84,2,10,5
2008,base.trunk.src.org.hsqldb.util,ConnectionDialogCommon,190,2,12,6
2008,base.trunk.src.org.hsqldb.types,ClobDataMemory,121,3,17,6
2007,base.trunk.src.org.hsqldb.lib,HsqlDeque,155,6,55,23
2008,base.trunk.test.org.hsqldb.jdbc,jdbcRowIdTest,59,4,26,8
2007,base.trunk.src.org.hsqldb.jdbc,jdbcColumnMetaData,52,1,6,6
2008,base.trunk.src.org.hsqldb.lib,LongDeque,153,6,55,23
2007,base.trunk.src.org.hsqldb.lib,OrderedHashSet,71,2,11,6
2008,base.trunk.src.org.hsqldb.lib,HashMap,118,15,138,18
2007,base.trunk.src.org.hsqldb.dbinfo,DatabaseInformationMain,1328,27,167,17
2007,base.trunk.src.org.hsqldb.lib,CountdownInputStream,57,2,16,8
2007,base.trunk.src.org.hsqldb,Session,821,2,22,11
